Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_DME_TELEPORT_TITLE,"DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport","DME Teleport"
STR_DME_TELEPORT_LOADING,"Loading...","Loading...","Loading...","Lade...","Загрузка...","Loading...","Loading...","Loading...","Loading...","Chargement...","加载中...","Loading...","Loading...","加载中..."STR_DME_TELEPORT_REPUTATION,"Reputation","Reputation","Reputation","Ruf","Репутация","Reputation","Reputation","Reputation","Reputation","Réputation","声望","Reputation","Reputation","声望"
STR_DME_TELEPORT_REQUESTING_DATA,"Requesting data...","Requesting data...","Requesting data...","Daten werden angefordert...","Запрос данных...","Requesting data...","Requesting data...","Requesting data...","Requesting data...","Demande des données...","正在请求数据...","Requesting data...","Requesting data...","正在请求数据..."
STR_DME_TELEPORT_MIN_REP,"Min Rep","Min Rep","Min Rep","Min. Ruf","Мин. репутация","Min Rep","Min Rep","Min Rep","Min Rep","Réputation min.","最低声望","Min Rep","Min Rep","最低声望"
STR_DME_TELEPORT_COST,"Cost","Cost","Cost","Kosten","Стоимость","Cost","Cost","Cost","Cost","Coût","花费","Cost","Cost","花费"
STR_DME_TELEPORT_NO_DEST_CONFIGURED,"No destinations configured.","No destinations configured.","No destinations configured.","Keine Ziele konfiguriert.","Точки назначения не настроены.","No destinations configured.","No destinations configured.","No destinations configured.","No destinations configured.","Aucune destination configurée.","未配置任何目的地。","No destinations configured.","No destinations configured.","未配置任何目的地。"
STR_DME_TELEPORT_NO_DEST_AVAILABLE,"No destinations available.","No destinations available.","No destinations available.","Keine Ziele verfügbar.","Нет доступных точек назначения.","No destinations available.","No destinations available.","No destinations available.","No destinations available.","Aucune destination disponible.","没有可用的目的地。","No destinations available.","No destinations available.","没有可用的目的地。"
STR_DME_TELEPORT_READY,"Ready","Ready","Ready","Bereit","Готово","Ready","Ready","Ready","Ready","Prêt","就绪","Ready","Ready","就绪"
STR_DME_TELEPORT_TRAVEL,"Travel","Travel","Travel","Teleport","Телепорт","Travel","Travel","Travel","Travel","Voyager","传送","Travel","Travel","传送"
STR_DME_TELEPORT_CLOSE,"Close","Close","Close","Schließen","Закрыть","Close","Close","Close","Close","Fermer","关闭","Close","Close","关闭"
STR_DME_TELEPORT_DESTINATION,"Destination","Destination","Destination","Ziel","Пункт назначения","Destination","Destination","Destination","Destination","Destination","目的地","Destination","Destination","目的地"
STR_DME_TELEPORT_COOLDOWN,"Cooldown","Cooldown","Cooldown","Abklingzeit","Перезарядка","Cooldown","Cooldown","Cooldown","Cooldown","Recharge","冷却","Cooldown","Cooldown","冷却"
STR_DME_TELEPORT_ACTION,"Action","Action","Action","Aktion","Действие","Action","Action","Action","Action","Action","操作","Action","Action","操作"
STR_DME_TELEPORT_REPUTATION_FORMAT,"%1: %2","%1: %2","%1: %2","%1: %2","%1: %2","%1: %2","%1: %2","%1: %2","%1: %2","%1 : %2","%1：%2","%1: %2","%1: %2","%1：%2"
STR_DME_TELEPORT_TRAVELING_TO,"Teleporting to %1...","Teleporting to %1...","Teleporting to %1...","Teleportiere zu %1...","Телепортация к %1...","Teleporting to %1...","Teleporting to %1...","Teleporting to %1...","Teleporting to %1...","Téléportation vers %1...","正在传送到 %1...","Teleporting to %1...","Teleporting to %1...","正在传送到 %1..."
STR_DME_TELEPORT_WARNING_ZONE,"Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","Teleportieren ist in dieser Zone nicht erlaubt.","Телепортация в этой зоне запрещена.","Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","La téléportation n'est pas autorisée dans cette zone.","此区域禁止传送。","Teleporting is not allowed in this zone.","Teleporting is not allowed in this zone.","此区域禁止传送。"
STR_DME_TELEPORT_WARNING_DESTINATION,"Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","Das gewählte Ziel liegt in einer verbotenen Teleport-Zone.","Выбранная точка находится в запрещённой зоне телепорта.","Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","La destination choisie est dans une zone de téléportation interdite.","所选目的地位于禁止传送区域内。","Selected destination is inside a prohibited teleport zone.","Selected destination is inside a prohibited teleport zone.","所选目的地位于禁止传送区域内。"
STR_DME_TELEPORT_WARNING_RADIUS_EXAMPLE,"Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","Teleportieren ist innerhalb dieser Radius-Zone nicht erlaubt.","Телепортация внутри этой радиусной зоны запрещена.","Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","La téléportation n'est pas autorisée dans cette zone de rayon.","此半径区域内禁止传送。","Teleporting is not allowed inside this radius zone.","Teleporting is not allowed inside this radius zone.","此半径区域内禁止传送。"
STR_DME_TELEPORT_WARNING_POLYGON_EXAMPLE,"Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","Teleportieren ist innerhalb dieser Polygon-Zone nicht erlaubt.","Телепортация внутри этой полигональной зоны запрещена.","Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","La téléportation n'est pas autorisée dans cette zone polygonale.","此多边形区域内禁止传送。","Teleporting is not allowed inside this polygon zone.","Teleporting is not allowed inside this polygon zone.","此多边形区域内禁止传送。"
STR_DME_TELEPORT_STATUS_TELEPORTING,"Teleporting...","Teleporting...","Teleporting...","Teleportiere...","Телепортация...","Teleporting...","Teleporting...","Teleporting...","Teleporting...","Téléportation...","传送中...","Teleporting...","Teleporting...","传送中..."
STR_DME_TELEPORT_LOADING_PREPARING,"Preparing teleport","Preparing teleport","Preparing teleport","Teleport wird vorbereitet","Подготовка телепорта","Preparing teleport","Preparing teleport","Preparing teleport","Preparing teleport","Préparation de la téléportation","正在准备传送","Preparing teleport","Preparing teleport","正在准备传送"
